site,year,sheet,remarks
MACL,2014,Campaign,
MACR,2008,Campaign,
MACR,2009,Campaign,
MACR,2011,Campaign,
MACR,2013,Campaign,
MACR,2019,Campaign,
MAD2,2009,Campaign,
MAD2,2010,Campaign,
MAD2,2014,Campaign,
MAE1,2004,Campaign,
MAE1,2009,Campaign,
MAE1,2010,Campaign,
MAE1,2012,Campaign,
MAE1,2014,Campaign,
MAGA,2006,Campaign,
MAGA,2008,Campaign,
MAGA,2009,Campaign,
MAGA,2011,Campaign,
MAGA,2013,Campaign,
MAL1,2002,Campaign,
MAL1,2003,Campaign,
MAL1,2004,Campaign,
MAL1,2009,Campaign,
MAL1,2010,Campaign,
MAL1,2014,Campaign,
MALA,2013,Continuous,
MALG,2012,Continuous,Data complete
MALG,2013,Continuous,Data complete
MALS,2013,Continuous,
MAMB,2010,Continuous,Data complete
MAMB,2012,Continuous,Data complete
MAMB,2013,Continuous,Data complete
MARK,2013,Continuous,
MARK,2017,Continuous,
MASF,1997,Campaign,
MASF,1999,Campaign,
MASF,2002,Campaign,
MASF,2003,Campaign,
MASF,2004,Campaign,
MASF,2009,Campaign,
MASF,2010,Campaign,
MASF,2012,Campaign,
MASF,2014,Campaign,
MASG,1997,Campaign,
MASG,1999,Campaign,
MASG,2002,Campaign,
MASG,2003,Campaign,
MASG,2004,Campaign,
MASG,2009,Campaign,
MASG,2010,Campaign,
MASG,2014,Campaign,
MASH,1997,Campaign,
MASH,1999,Campaign,
MASH,2002,Campaign,
MASH,2003,Campaign,
MASH,2004,Campaign,
MASH,2009,Campaign,
MASH,2010,Campaign,
MASH,2014,Campaign,
MASH,2016,Campaign,
MASI,1997,Campaign,Complete
MASI,1999,Campaign,Complete
MASI,2002,Campaign,Complete
MASI,2003,Campaign,Complete
MASI,2004,Campaign,Complete
MASI,2009,Campaign,Complete
MASI,2010,Campaign,Complete
MASI,2012,Campaign,Complete
MASI,2014,Campaign,Complete
MASJ,1999,Campaign,
MASJ,2002,Campaign,
MASJ,2003,Campaign,
MASJ,2004,Campaign,
MASJ,2009,Campaign,
MASJ,2010,Campaign,
MASJ,2012,Campaign,
MASJ,2014,Campaign,
MASM,2014,Campaign,
MASU,2014,Campaign,
MATA,2013,Campaign,
MAUB,2013,Continuous,
MDQT,2010,Campaign,
MDQT,2011,Campaign,
MDQT,2013,Campaign,
MDVS,2010,Campaign,
MDVS,2012,Campaign,
MPCK,2010,Campaign,
MPCK,2014,Campaign,
MRIK,2008,Campaign,
MRIK,2009,Campaign,
MRIK,2011,Campaign,
MRIK,2012,Campaign,
MRIK,2013,Campaign,
MRIK,2019,Campaign,
MSW3,2010,Campaign,
MSW3,2012,Campaign,
MUNT,2013,Continuous,
MUNZ,2012,Continuous,
N132,2008,Campaign,
N132,2009,Campaign,
N132,2011,Campaign,
N132,2012,Campaign,
N132,2013,Campaign,
N688,2006,Campaign,
N688,2008,Campaign,
N688,2010,Campaign,
N688,2011,Campaign,
