path,ext,size,outcome,detail
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205270000A.T02,.t02,1188005,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205270000A.dat,.dat,2336556,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205280000A.T02,.t02,1176428,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205280000A.dat,.dat,2337788,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205290000A.T02,.t02,1171423,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205290000A.dat,.dat,2335934,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205300000A.T02,.t02,1169040,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205300000A.dat,.dat,2335538,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205310000A.T02,.t02,1193815,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205310000A.dat,.dat,2338098,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201206010000A.T02,.t02,1192552,ok,
