sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU MARINDUQUE,BOAC,2025,35-46,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MINDORO,BULA,2010,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2012,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2013,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2014,182---365,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2015,"1-83, 180-365",,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2016,1---366,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2017,1---365,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2018,"1-25, 261-365",,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2019,1---139,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2021,279---282,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2022,224.0,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2024,227---366,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,BULA,2025,1---74,,,,FFFFFF00,Downloaded data this year,,,2014-2026,RAEN,
Continuous,NCKU MINDORO,NAUJ,2010,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2012,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2013,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2014,182---365,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2015,1---365,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2016,"1-286, 327-328",,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2017,52---265,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2018,12---163,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2019,2---29,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2024,227---355,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2025,"64-345, 349-365",,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,NAUJ,2026,1---28,,,,FFFFFF00,Downloaded data this year,False,False,,,False
Continuous,NCKU MINDORO,SABL,2010,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2012,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2013,,FF1E4E79,Data to be retrieved,no,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2014,202---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2015,"1-43, 232-365",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2016,"1-244, 366",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2017,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2018,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2019,"1-180, 241-365",,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2020,1---366,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2021,1---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2022,1---172,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2023,227---365,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
Continuous,NCKU MINDORO,SABL,2024,1---366,,,,FFFFFF00,Downloaded data this year,Pending,Pending,,,To convert
